"Product","Customer","Qtr 1","Qtr 2","Qtr 3","Qtr 4"
"Filo Mix","LAUGB","","","$35.00",""
"Filo Mix","NORTS","","$42.00","",""
"Filo Mix","OLDWO","","","$168.00",""
"Filo Mix","REGGC","","","$23.80",""
"Filo Mix","RICAR","","$490.00","",""
"Filo Mix","RICSU","","","","$420.00"
"Filo Mix","TOMSP","$75.60","","",""
"Filo Mix","VAFFE","","","","$99.75"
"Filo Mix","VINET","","","","$126.00"
"Fløtemysost","AROUT","","","","$258.00"
"Fløtemysost","BERGS","","","$688.00",""
"Fløtemysost","BONAP","","","","$645.00"
"Fløtemysost","ERNSH","","","$240.80","$344.00"
"Fløtemysost","GREAL","","","$306.37",""
"Fløtemysost","HANAR","","$174.15","",""
"Fløtemysost","HUNGO","","","$483.75","$365.50"
"Fløtemysost","ISLAT","$206.40","","$322.50",""
"Fløtemysost","MEREP","","","$306.37",""
"Fløtemysost","OTTIK","$258.00","","",""
"Fløtemysost","QUEDE","","","","$172.00"
"Fløtemysost","RATTC","$1,032.00","","$193.50",""
"Fløtemysost","RICAR","$34.40","","",""
"Fløtemysost","SAVEA","","","","$1,032.00"
"Fløtemysost","SUPRD","$860.00","","",""
"Fløtemysost","WARTH","$516.00","","",""
"Geitost","ANTON","","","$92.00",""
"Geitost","BOTTM","$98.00","","",""
"Geitost","BSBEV","","$37.50","",""
"Geitost","FAMIA","$100.00","","",""
"Geitost","GREAL","","$16.00","",""
"Geitost","HUNGC","$40.00","","",""
"Geitost","ISLAT","$24.00","","",""
"Geitost","LAMAI","$32.00","","",""
"Geitost","LEHMS","","$75.00","",""
"Geitost","QUICK","","$34.00","",""
"Geitost","REGGC","","$45.00","",""
"Geitost","SAVEA","","","$110.00",""
"Geitost","TRAIH","","$35.00","",""
"Geitost","WANDK","","","$47.50",""
"Genen Shouyu","LAMAI","","$176.70","",""
"Genen Shouyu","LEHMS","","","$368.12",""
"Genen Shouyu","LETSS","","$155.00","",""
"Genen Shouyu","SAVEA","","","$775.00",""
"Gnocchi di nonna Alice","BLONP","$1,094.40","","",""
"Gnocchi di nonna Alice","BONAP","","","","$855.00"
"Gnocchi di nonna Alice","BSBEV","$608.00","","",""
"Gnocchi di nonna Alice","CHOPS","","$1,520.00","",""
"Gnocchi di nonna Alice","COMMI","","$912.00","",""
"Gnocchi di nonna Alice","ERNSH","$912.00","$2,660.00","",""
"Gnocchi di nonna Alice","FOLKO","","","","$2,280.00"
"Gnocchi di nonna Alice","FURIB","$729.60","","$387.60",""
"Gnocchi di nonna Alice","GALED","$152.00","","",""
"Gnocchi di nonna Alice","GOURL","","","","$646.00"
"Gnocchi di nonna Alice","GREAL","","","$532.00",""
"Gnocchi di nonna Alice","HANAR","","","","$570.00"
"Gnocchi di nonna Alice","HUNGO","","","","$1,140.00"
"Gnocchi di nonna Alice","ISLAT","","","","$570.00"
"Gnocchi di nonna Alice","LEHMS","","$425.60","",""
"Gnocchi di nonna Alice","MEREP","","$2,166.00","$760.00",""
"Gnocchi di nonna Alice","PRINI","$851.20","","",""
"Gnocchi di nonna Alice","QUEEN","","","$2,166.00",""
"Gnocchi di nonna Alice","RATTC","$2,128.00","","",""
"Gnocchi di nonna Alice","REGGC","","","","$361.00"
"Gnocchi di nonna Alice","SAVEA","","$1,216.00","$1,710.00","$1,577.00"
"Gnocchi di nonna Alice","SUPRD","$456.00","","",""
"Gnocchi di nonna Alice","TOMSP","","","$1,064.00",""
"Gnocchi di nonna Alice","WARTH","","$969.00","","$608.00"
"Gnocchi di nonna Alice","WHITC","","","$152.00","$425.60"
"Gorgonzola Telino","AROUT","","","","$625.00"
"Gorgonzola Telino","BLONP","","$593.75","",""
"Gorgonzola Telino","BONAP","","","","$35.62"
"Gorgonzola Telino","CACTU","","","","$12.50"
"Gorgonzola Telino","ERNSH","","","","$890.00"
"Gorgonzola Telino","FOLKO","","","","$18.75"
"Gorgonzola Telino","GOURL","$140.00","","",""
"Gorgonzola Telino","HANAR","","","","$125.00"
"Gorgonzola Telino","HILAA","","","","$250.00"
"Gorgonzola Telino","HUNGO","","$600.00","",""
"Gorgonzola Telino","LEHMS","","$250.00","",""
"Gorgonzola Telino","OLDWO","","","$187.50",""
"Gorgonzola Telino","PICCO","","","","$100.00"
"Gorgonzola Telino","QUEEN","","","$237.50",""
"Gorgonzola Telino","QUICK","","$584.37","",""
"Gorgonzola Telino","RATTC","","$421.25","",""
"Gorgonzola Telino","RICSU","","$375.00","",""
"Gorgonzola Telino","SAVEA","","","","$625.00"
"Gorgonzola Telino","SUPRD","$297.50","","",""
"Gorgonzola Telino","TOMSP","$27.00","","",""
"Gorgonzola Telino","TORTU","","$250.00","",""
"Gorgonzola Telino","TRADH","","$190.00","",""
"Gorgonzola Telino","WANDK","","","$90.00",""
"Gorgonzola Telino","WARTH","","$375.00","",""
"Grandma's Boysenberry Spread","GOURL","","","","$750.00"
"Grandma's Boysenberry Spread","MEREP","","","$1,750.00",""
"Gravad lax","FOLIG","$208.00","","",""
"Gravad lax","SEVES","","$421.20","",""
"Guaraná Fantástica","FAMIA","","$38.25","",""
"Guaraná Fantástica","FOLIG","","","","$90.00"
"Guaraná Fantástica","FRANK","","","$13.50",""
"Guaraná Fantástica","HANAR","","$141.75","",""
"Guaraná Fantástica","HILAA","","$63.00","",""
"Guaraná Fantástica","KOENE","","","","$76.50"
"Guaraná Fantástica","LAUGB","","","$22.50",""
"Guaraná Fantástica","MAGAA","$100.80","","",""
"Guaraná Fantástica","MEREP","","$101.25","",""
"Guaraná Fantástica","PICCO","","","$126.00",""
"Guaraná Fantástica","QUEEN","","","","$157.50"
"Guaraná Fantástica","RICAR","","","$57.37",""
"Guaraná Fantástica","SANTG","","$36.00","",""
"Guaraná Fantástica","SAVEA","","$64.80","",""
"Guaraná Fantástica","SEVES","$273.60","","",""
"Guaraná Fantástica","TOMSP","$64.80","","",""
"Guaraná Fantástica","TORTU","","$22.50","",""
"Guaraná Fantástica","VAFFE","$90.00","","",""
"Guaraná Fantástica","WILMK","","","","$90.00"
"Gudbrandsdalsost","BONAP","","","","$675.00"
"Gudbrandsdalsost","CHOPS","","","","$1,440.00"
"Gudbrandsdalsost","ERNSH","","","$3,051.00",""
"Gudbrandsdalsost","FRANK","","","","$855.00"
"Gudbrandsdalsost","HILAA","","$648.00","","$691.20"
"Gudbrandsdalsost","LAMAI","","$259.20","",""
"Gudbrandsdalsost","LEHMS","","","$576.00",""
"Gudbrandsdalsost","MAISD","","$360.00","",""
"Gudbrandsdalsost","NORTS","","","","$108.00"
"Gudbrandsdalsost","OTTIK","$432.00","","",""
"Gudbrandsdalsost","PICCO","","","","$1,080.00"
"Gudbrandsdalsost","RICSU","$547.20","","",""
"Gudbrandsdalsost","SPLIR","","","","$576.00"
"Gudbrandsdalsost","WANDK","","","$540.00",""
"Gudbrandsdalsost","WARTH","","$306.00","",""
"Gudbrandsdalsost","WHITC","","","","$918.00"
"Gula Malacca","BOTTM","$496.00","","",""
"Gula Malacca","FOLKO","","$194.50","",""
"Gula Malacca","FURIB","$197.62","$778.00","",""
"Gula Malacca","GREAL","","","$490.14",""
"Gula Malacca","HILAA","","","","$194.50"
"Gula Malacca","QUICK","","","","$1,701.87"
"Gula Malacca","SAVEA","$1,472.50","","",""
"Gula Malacca","THECR","","","$194.50",""
"Gula Malacca","TORTU","","$583.50","$408.45",""
"Gula Malacca","WHITC","$26.35","","",""
"Gumbär Gummibärchen","ANTON","","","$796.36",""
"Gumbär Gummibärchen","BERGS","$373.50","","",""
"Gumbär Gummibärchen","ERNSH","","","$929.09",""
"Gumbär Gummibärchen","FRANS","$49.80","","",""
"Gumbär Gummibärchen","HILAA","","","","$524.66"
"Gumbär Gummibärchen","LEHMS","","","$148.34",""
"Gumbär Gummibärchen","MAGAA","$709.65","","",""
"Gumbär Gummibärchen","PICCO","","","$468.45",""
"Gumbär Gummibärchen","QUEDE","$747.00","","$187.38",""
"Gumbär Gummibärchen","QUEEN","$747.00","","",""
"Gumbär Gummibärchen","QUICK","","$1,249.20","",""
"Gumbär Gummibärchen","RANCH","$149.40","","",""
"Gumbär Gummibärchen","RICSU","","","","$961.88"
"Gumbär Gummibärchen","SAVEA","","","","$936.90"
"Gumbär Gummibärchen","SPLIR","$249.00","","",""
"Gumbär Gummibärchen","SUPRD","$747.00","","",""
"Gumbär Gummibärchen","WHITC","","","","$468.45"
"Gustaf's Knäckebröd","AROUT","","","","$84.00"
"Gustaf's Knäckebröd","CONSH","$201.60","","",""
"Gustaf's Knäckebröd","FOLIG","","","","$126.00"
"Gustaf's Knäckebröd","MAGAA","","","$840.00",""
"Gustaf's Knäckebröd","MEREP","","","$840.00",""
"Gustaf's Knäckebröd","RICAR","","","$315.00",""
"Gustaf's Knäckebröd","SAVEA","","","$1,008.00",""
"Gustaf's Knäckebröd","WANDK","","","$315.00",""
"Gustaf's Knäckebröd","WARTH","","$504.00","",""
"Ikura","BERGS","","$62.00","",""
"Ikura","BLONP","$347.20","","",""
"Ikura","BONAP","","","","$651.00"
"Ikura","CHOPS","","$471.20","",""
"Ikura","DUMON","","","$310.00",""
"Ikura","FURIB","","","$632.40",""
"Ikura","GALED","","$155.00","",""
"Ikura","GOURL","","","$620.00",""
"Ikura","GROSR","","","","$310.00"
"Ikura","HUNGO","","","$418.50",""
"Ikura","MEREP","","","","$496.00"
"Ikura","SAVEA","","","$2,170.00","$558.00"
"Ikura","SEVES","","","","$1,116.00"
"Ikura","THECR","","","","$186.00"
"Ikura","TORTU","","","$62.00",""
"Ikura","VAFFE","","","","$502.20"
"Ikura","VICTE","$868.00","","",""
"Inlagd Sill","BONAP","","$570.00","",""
"Inlagd Sill","HANAR","","","$285.00",""
"Inlagd Sill","HUNGO","","","$85.50",""
"Inlagd Sill","KOENE","","","","$760.00"
"Inlagd Sill","LAMAI","","","$299.25",""
"Inlagd Sill","MAGAA","","","","$570.00"
"Inlagd Sill","QUEEN","$68.40","","",""
"Inlagd Sill","QUICK","","$513.00","",""
"Inlagd Sill","RICAR","","$475.00","",""
"Inlagd Sill","SAVEA","","","$1,045.00",""
"Inlagd Sill","SEVES","","$1,140.00","",""
"Inlagd Sill","SIMOB","","","$570.00",""
"Inlagd Sill","SPLIR","","","","$304.00"
"Inlagd Sill","THEBI","","","","$95.00"
"Inlagd Sill","VINET","","","","$114.00"
"Ipoh Coffee","ANTON","","$586.50","",""
"Ipoh Coffee","BERGS","","$2,760.00","",""
"Ipoh Coffee","FURIB","$110.40","","",""
"Ipoh Coffee","KOENE","$552.00","","",""
"Ipoh Coffee","MAISD","","","","$1,035.00"
"Ipoh Coffee","OLDWO","","","","$1,104.00"
"Ipoh Coffee","PICCO","","$1,150.00","",""
"Ipoh Coffee","QUICK","","","","$1,840.00"
"Ipoh Coffee","SUPRD","$736.00","","",""
"Ipoh Coffee","WELLI","","","$920.00",""
"Ipoh Coffee","WILMK","","","$276.00",""
"Jack's New England Clam Chowder","AROUT","","","","$135.10"
"Jack's New England Clam Chowder","BERGS","$231.00","","","$96.50"
"Jack's New England Clam Chowder","BLONP","","$110.01","",""
"Jack's New England Clam Chowder","BOTTM","$154.00","","",""
"Jack's New England Clam Chowder","CACTU","","$96.50","",""
"Jack's New England Clam Chowder","FAMIA","","","","$115.80"
"Jack's New England Clam Chowder","FRANK","","","","$183.35"
"Jack's New England Clam Chowder","GOURL","","","$38.60",""
"Jack's New England Clam Chowder","HUNGO","","$694.80","",""
"Jack's New England Clam Chowder","LAUGB","","$154.00","",""
"Jack's New England Clam Chowder","OTTIK","","$82.51","",""
"Jack's New England Clam Chowder","PICCO","","","","$337.75"
"Jack's New England Clam Chowder","REGGC","","","$154.40",""
"Jack's New England Clam Chowder","SAVEA","","","$1,389.60","$405.30"
"Jack's New England Clam Chowder","SEVES","","$52.11","",""
"Jack's New England Clam Chowder","TOMSP","","$135.10","",""
"Jack's New England Clam Chowder","VAFFE","","","","$275.02"
"Jack's New England Clam Chowder","VINET","","","","$115.80"
"Konbu","BSBEV","","$48.00","",""
"Konbu","CHOPS","","","","$36.00"
"Konbu","CONSH","$4.80","","",""
"Konbu","ERNSH","","","$66.30",""
"Konbu","HILAA","","","$403.20",""
"Konbu","KOENE","","","","$102.00"
"Konbu","OTTIK","","$60.00","",""
"Konbu","VINET","","","","$24.00"
"Konbu","WARTH","","$60.00","",""
"Konbu","WELLI","$8.64","","",""
"Lakkalikööri","ALFKI","","","","$270.00"
"Lakkalikööri","BLAUS","","$252.00","",""
"Lakkalikööri","BLONP","","$180.00","",""
"Lakkalikööri","BONAP","","","","$360.00"
"Lakkalikööri","FOLKO","$220.32","","",""
"Lakkalikööri","FURIB","","","$162.00",""
"Lakkalikööri","GOURL","","","","$360.00"
"Lakkalikööri","HUNGO","","","","$535.50"
"Lakkalikööri","ISLAT","","","","$180.00"
"Lakkalikööri","KOENE","","","$630.00",""
"Lakkalikööri","LAMAI","$417.60","","",""
"Lakkalikööri","LEHMS","","","$57.60",""
"Lakkalikööri","LONEP","","","$180.00",""
"Lakkalikööri","MORGK","","$180.00","",""
"Lakkalikööri","PICCO","","$900.00","",""
"Lakkalikööri","RATTC","","$540.00","",""
"Lakkalikööri","SAVEA","","","$1,440.00",""
"Lakkalikööri","SUPRD","$514.08","","",""
"Laughing Lumberjack Lager","FRANK","","","$350.00",""
"Laughing Lumberjack Lager","LONEP","","$98.00","",""
"Laughing Lumberjack Lager","PERIC","","$420.00","",""
"Laughing Lumberjack Lager","THECR","","","","$42.00"
"Longlife Tofu","FRANS","","","","$50.00"
"Longlife Tofu","HILAA","$128.00","","",""
"Longlife Tofu","MEREP","$240.00","","",""
"Longlife Tofu","QUICK","$120.00","","",""
"Longlife Tofu","VICTE","","","","$112.50"
"Longlife Tofu","WARTH","","","","$350.00"
"Louisiana Fiery Hot Pepper Sauce","BONAP","","","","$199.97"
"Louisiana Fiery Hot Pepper Sauce","ERNSH","","$820.95","","$1,299.84"
"Louisiana Fiery Hot Pepper Sauce","FRANR","","","$252.60",""
"Louisiana Fiery Hot Pepper Sauce","FURIB","","","$268.39",""
"Louisiana Fiery Hot Pepper Sauce","HANAR","","$682.02","",""
"Louisiana Fiery Hot Pepper Sauce","HUNGO","","$421.00","","$842.00"
"Louisiana Fiery Hot Pepper Sauce","LAMAI","","$226.80","",""
"Louisiana Fiery Hot Pepper Sauce","LINOD","","","$442.05",""
"Louisiana Fiery Hot Pepper Sauce","OTTIK","","$599.92","",""
"Louisiana Fiery Hot Pepper Sauce","PICCO","","","$202.08",""
"Louisiana Fiery Hot Pepper Sauce","QUICK","$423.36","","","$1,515.60"
"Louisiana Fiery Hot Pepper Sauce","RATTC","$336.00","","",""
"Louisiana Fiery Hot Pepper Sauce","RICAR","$588.00","","",""
"Louisiana Fiery Hot Pepper Sauce","RICSU","","","$210.50",""
"Louisiana Fiery Hot Pepper Sauce","VICTE","","","","$42.10"
"Louisiana Hot Spiced Okra","ANTON","","","$68.00",""
"Louisiana Hot Spiced Okra","EASTC","","$408.00","",""
"Louisiana Hot Spiced Okra","ERNSH","$816.00","","",""
"Louisiana Hot Spiced Okra","FOLKO","","","","$850.00"
"Louisiana Hot Spiced Okra","LAMAI","","$122.40","",""
"Louisiana Hot Spiced Okra","SUPRD","$693.60","","",""
"Manjimup Dried Apples","AROUT","","$1,060.00","",""
"Manjimup Dried Apples","BONAP","","","$1,007.00",""
"Manjimup Dried Apples","BSBEV","$127.20","","",""
"Manjimup Dried Apples","CHOPS","","","","$1,510.50"
"Manjimup Dried Apples","ERNSH","","","","$6,042.00"
"Manjimup Dried Apples","FOLIG","","","$795.00",""
"Manjimup Dried Apples","FOLKO","","$2,650.00","","$1,484.00"
"Manjimup Dried Apples","GOURL","","","","$1,484.00"
"Manjimup Dried Apples","HILAA","$1,060.00","","",""
"Manjimup Dried Apples","HUNGO","","$159.00","",""
"Manjimup Dried Apples","LONEP","","","$1,060.00",""
"Manjimup Dried Apples","QUICK","","$2,162.40","",""
"Manjimup Dried Apples","RANCH","","","","$371.00"
"Manjimup Dried Apples","RICSU","","$318.00","",""
"Manjimup Dried Apples","SAVEA","","$848.00","",""
"Manjimup Dried Apples","SEVES","$763.20","","","$477.00"
"Manjimup Dried Apples","SIMOB","","","","$1,192.50"
"Mascarpone Fabioli","ANATR","","","","$320.00"
"Mascarpone Fabioli","BERGS","","$288.00","",""
"Mascarpone Fabioli","HILAA","","","","$128.00"
"Mascarpone Fabioli","SEVES","","$652.80","",""
"Mascarpone Fabioli","WANDK","","$1,280.00","",""
"Maxilaku","BSBEV","","$120.00","",""
"Maxilaku","EASTC","$480.00","","",""
"Maxilaku","KOENE","$285.60","","",""
"Maxilaku","LILAS","","$500.00","",""
"Maxilaku","MAGAA","$456.00","","",""
"Maxilaku","RICAR","$384.00","","",""
"Maxilaku","SAVEA","","","$835.00",""
"Maxilaku","SEVES","","","","$68.00"
"Mishi Kobe Niku","HUNGO","","","$3,637.50",""
"Mishi Kobe Niku","QUICK","","$1,319.20","",""
"Mishi Kobe Niku","WELLI","$1,396.80","","",""
"Mishi Kobe Niku","WHITC","","","","$582.00"
"Mozzarella di Giovanni","BOTTM","","","","$1,218.00"
"Mozzarella di Giovanni","BSBEV","","$34.80","",""
"Mozzarella di Giovanni","CONSH","$278.00","","",""
"Mozzarella di Giovanni","FOLKO","","$835.20","",""
"Mozzarella di Giovanni","GREAL","","$313.20","",""
"Mozzarella di Giovanni","ISLAT","","","","$348.00"
"Mozzarella di Giovanni","LEHMS","","$695.00","",""
"Mozzarella di Giovanni","LINOD","","","$2,088.00",""
"Mozzarella di Giovanni","MAGAA","","","","$887.40"
"Mozzarella di Giovanni","MAISD","","","$522.00",""
"Mozzarella di Giovanni","MORGK","","$1,044.00","",""
"Mozzarella di Giovanni","QUICK","","","","$243.60"
"Mozzarella di Giovanni","RICSU","","$730.80","",""
"Mozzarella di Giovanni","SAVEA","","","$417.60",""
"Mozzarella di Giovanni","SIMOB","","$835.20","",""
"Mozzarella di Giovanni","VICTE","$1,112.00","","",""
"Nord-Ost Matjeshering","BERGS","","$258.90","",""
"Nord-Ost Matjeshering","EASTC","","$388.35","",""
"Nord-Ost Matjeshering","FAMIA","","","$776.70",""
"Nord-Ost Matjeshering","FRANK","","$517.80","",""
"Nord-Ost Matjeshering","GOURL","","","$38.84","$388.35"
"Nord-Ost Matjeshering","KOENE","$165.60","","",""
"Nord-Ost Matjeshering","LEHMS","","$673.14","",""
"Nord-Ost Matjeshering","LETSS","","","","$58.25"
"Nord-Ost Matjeshering","LILAS","$434.70","","",""
"Nord-Ost Matjeshering","QUEEN","","","","$699.03"
"Nord-Ost Matjeshering","RATTC","$372.60","","",""
"Nord-Ost Matjeshering","RICSU","","","","$776.70"
"Nord-Ost Matjeshering","SIMOB","","","","$485.44"
"Northwoods Cranberry Sauce","BONAP","","$340.00","",""
"Northwoods Cranberry Sauce","GOURL","","","","$1,600.00"
"Northwoods Cranberry Sauce","LEHMS","","$960.00","",""
"Northwoods Cranberry Sauce","QUEEN","","","","$960.00"
"Northwoods Cranberry Sauce","WILMK","","","","$400.00"
"NuNuCa Nuß-Nougat-Creme","BOTTM","","$638.40","",""
"NuNuCa Nuß-Nougat-Creme","KOENE","","$226.80","",""
"NuNuCa Nuß-Nougat-Creme","MAGAA","$134.40","","",""
"NuNuCa Nuß-Nougat-Creme","MAISD","","","","$126.00"
"NuNuCa Nuß-Nougat-Creme","RATTC","","","","$367.50"
"NuNuCa Nuß-Nougat-Creme","WELLI","","","","$199.50"
"Original Frankfurter grüne Soße","FURIB","$61.88","","",""
"Original Frankfurter grüne Soße","HANAR","","","","$292.50"
"Original Frankfurter grüne Soße","HUNGO","","","$341.25",""
"Original Frankfurter grüne Soße","LAUGB","","$52.00","",""
"Original Frankfurter grüne Soße","LEHMS","","$260.00","",""
"Original Frankfurter grüne Soße","LETSS","","","","$23.40"
"Original Frankfurter grüne Soße","LILAS","","","","$195.00"
"Original Frankfurter grüne Soße","MEREP","","","$741.00",""
"Original Frankfurter grüne Soße","OTTIK","","$123.50","",""
"Original Frankfurter grüne Soße","QUEDE","$88.40","","$260.00",""
"Original Frankfurter grüne Soße","QUICK","$514.80","","$864.50",""
"Original Frankfurter grüne Soße","SIMOB","$364.00","","",""
"Original Frankfurter grüne Soße","TRAIH","","$234.00","",""
